# File used : root://xrootd-cms.infn.it//store/mc/RunIISummer20UL18NanoAODv9/WHToAA_AToBB_AToGG_M-20_TuneCP5_13TeV_madgraph_pythia8/NANOAODSIM/106X_upgrade2018_realistic_v16_L1v1-v1/2530000/FB6A4557-3B3E-5E4A-900D-45A77C107EA2.root


Event Number : 0
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -1      21       10625                 -1 22784.0000   0.000   0.0000   0.000
   1      2      21       10625                 -1 -25472.0000   0.000   0.0000   0.000
   2     24      22        4481                  0  -3.7422  77.750   0.8008  48.750
   3     25      22        4481                  0  -4.2500 125.000  -2.3438  48.750
   4     24      44         257                  2  -3.7891  77.750   0.7988  43.625
   5     25      44         257                  3  -4.1406 125.000  -2.3438  55.375
   6     24      44         257                  4  -3.7500  77.750   0.7969  46.750
   7     25      44         257                  5  -4.1875 125.000  -2.3359  51.250
   8     24      44         257                  6  -3.7422  77.750   0.8145  47.375
   9     25      44         257                  7  -4.2031 125.000  -2.3594  50.500
  10      4      31       20481                 -1 -22784.0000   0.000   0.0000   0.000
  11     24      44         257                  8  -3.7344  77.750   0.8262  47.875
  12     25      44         257                  9  -4.2188 125.000  -2.3750  49.750
  13     24      62       10497                 11  -3.7266  77.750   0.7969  47.875
  14     25      62       10497                 12  -4.2344 125.000  -2.3281  49.500
  15    -11       1       12673                 13  -1.8906   0.000   1.1719  25.312
  16     12       1       12673                 13  -4.2500   0.000   0.4326  26.125
  17     35      22       14721                 14  -3.1250  20.000   3.1094  72.500
  18     35      22       31105                 14  -3.4766  20.000  -0.7832  54.125
  19      5      23       22913                 17  -3.0312   0.000   3.0703  63.500
  20     -5      23        4481                 17  -3.5938   0.000  -2.8828   9.406
  21     22       1       12673                 18  -3.7812   0.000  -0.4863  20.250
  22     22       1       12673                 18  -3.1953   0.000  -0.9512  35.250
  23   -411       2       12291                 -1  -4.0156   0.000   0.1592   0.701
  24      5      71        8449                 19  -3.1250   0.000   3.1172  42.500
  25     -5      71        8449                 20  -3.5156   0.000  -2.9453   9.219
  26   -513       2       28675                 19  -3.1094   5.328   3.1094  41.875
  27    521       2       12291                 19  -3.4688   5.281  -2.9766   9.000
  28      1      71        8193                 -1  -0.4727   0.000  -2.1250   1.062
  29     -1      71        8193                 -1  -4.5000   0.000   0.7305   0.106
  30    411       2       12291                 10  -2.3203   0.000  -2.9297   3.367
  31      2      71        8193                 -1   4.4531   0.000  -0.7539   4.953
  32     21      71        8193                 -1   1.8359   0.000  -1.4375   5.391
  33     21      71        8193                 -1  -0.2578   0.000  -2.2109   6.688
  34     -1      71        8193                 -1  -1.0234   0.000  -1.4336   4.531
  35     11       1       12352                 23  -2.3281   0.000   2.1484   0.108
  36    -12       1       12352                 23  -2.6641   0.000   3.0234   0.490
  37   -511       2       12354                 26  -3.1094   5.281   3.1094  41.750
  38   -423       2       28738                 27  -3.4453   2.008  -3.0703   3.547
  39    413       2       12354                 37  -3.1016   2.008   3.0547  12.938
  40   -421       2       12354                 38  -3.4531   0.000  -3.0781   3.039
  41     11       1       12352                 10  -1.0156   0.000  -0.6250   0.039
  42    -11       1       12352                 10  -1.3398   0.000  -1.5273   0.027
  43     11       1       12352                 10  -1.0312   0.000  -1.3086   0.816
  44    -11       1       12352                 10  -1.0117   0.000  -1.3125   0.092
  45    411       2       12354                 39  -3.1016   0.000   3.0547  12.250
  46    -13       1       12352                 45  -3.2969   0.000   3.0781   1.363
  47     14       1       12352                 45  -2.8984   0.000  -2.9219   0.918

Event Number : 10
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -1      21       10625                 -1 22784.0000   0.000   0.0000   0.000
   1      2      21       10625                 -1 -25664.0000   0.000   0.0000   0.000
   2     24      22        4481                  0  -2.7812  81.500   0.6602 232.500
   3     25      22        4481                  0  -2.1484 125.000  -2.4844 232.500
   4     24      44         257                  2  -2.7266  81.500   0.7285 273.000
   5     25      44         257                  3  -1.7891 125.000  -2.7422 152.500
   6     24      44         257                  4  -2.7188  81.500   0.7383 272.000
   7     25      44         257                  5  -1.7891 125.000  -2.7734 156.000
   8     24      44         257                  6  -2.7188  81.500   0.7383 274.000
   9     25      44         257                  7  -1.7852 125.000  -2.7812 153.000
  10     24      44         257                  8  -2.7188  81.500   0.7383 273.000
  11     25      44         257                  9  -1.7852 125.000  -2.7812 153.500
  12     24      44         257                 10  -2.7266  81.500   0.7363 272.000
  13     25      44         257                 11  -1.7812 125.000  -2.7812 154.000
  14     24      62       10497                 12  -2.7266  81.500   0.7344 272.000
  15     25      62       10497                 13  -1.7812 125.000  -2.7812 154.000
  16    -11      23       22913                 14  -2.6641   0.000   0.1431  57.125
  17     12      23        4481                 14  -2.6875   0.000   0.8770 226.500
  18    -11       1        8449                 16  -2.6641   0.000   0.1431  52.000
  19     22       1       12289                 16  -2.6641   0.000   0.1431   5.125
  20     12       1        8449                 17  -2.6875   0.000   0.8770 226.500
  21     35      22       14721                 15  -1.4805  20.000  -2.3594 127.750
  22     35      22       31105                 15  -1.7344  20.000   2.5469  64.750
  23      5      23       12673                 21  -1.3555   0.000  -2.4141  66.250
  24     -5      23       12673                 21  -1.6016   0.000  -2.2969  62.000
  25     22       1       12673                 22  -1.8398   0.000   1.9180  12.469
  26     22       1       12673                 22  -1.6602   0.000   2.6797  55.000
