# File used : 86D3D6A3-EE02-5849-8FC0-C89B9BE7D930.root


Event Number : 8
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
  31  -5224       2       12291                 19   2.4609   5.828   2.3594 8.59375
  32      1      71        8193                 -1   7.1875   0.000  -1.5000 0.31250
  33     -3      71        8193                 -1  -3.9297   0.000  -0.2168 0.23633
  34      1      71        8193                 -1   0.9863   0.000  -0.2510 33.00000
  35     -1      71        8193                 -1  -0.5781   0.000  -2.3125 23.93750
  36   -521       2       12354                 30   3.8750   5.281   1.3008 19.06250
  37  -5122       2       12354                 31   2.4688   5.625   2.3516 8.06250
  38    423       2       12354                 36   3.7656   2.008   1.4258 13.75000
  39     14       1       12352                 37   2.7344   0.000   1.2617 1.01172
  40    -13       1       12352                 37   2.2891   0.000   1.9844 3.01562
  41  -4122       2       12354                 37   2.2656   2.289   2.7500 5.17188
  42     11       1       12352                 32  -0.5020   0.000  -2.8828 0.03119
  43    -11       1       12352                 32  -0.5586   0.000   3.1094 0.15283
  44    421       2       12354                 38   3.7656   0.000   1.4297 12.50000

Event Number : 158
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -4      21       10625                 -1 22784.0000   0.000   0.0000 0.00000
   1      1      21       10625                 -1 -23232.0000   0.000   0.0000 0.00000
   2    -24      22        4481                  0  -2.1641  82.750   1.9219 59.75000
   3     25      22        4481                  0  -1.9531 125.000  -1.2227 59.75000
   4    -24      44         257                  2  -2.1484  82.750   1.9844 57.62500
   5     25      44         257                  3  -1.8828 125.000  -1.3438 65.00000
   6    -24      44         257                  4  -2.1328  82.750   1.9336 59.50000
   7     25      44         257                  5  -1.9102 125.000  -1.2461 60.37500
   8    -24      44         257                  6  -2.1328  82.750   1.9102 58.75000
   9     25      44         257                  7  -1.8945 125.000  -1.1953 61.87500
  10    -24      44         257                  8  -2.1328  82.750   1.9023 59.62500
